variable,category,unweighted_n,pct,lci,uci
Age,15-19,1349,30.3898810361764,28.3348400876022,32.4449219847506
Age,20-24,1150,29.66306734836262,27.41724129265191,31.90889340407333
Age,25-29,1603,39.94705161546107,37.71839105087753,42.17571218004461
Area,Urban,1206,37.35653225357971,32.60555838052588,42.10750612663355
Area,Rural,2896,62.64346774642011,57.89249387336628,67.39444161947394
Ethnic minority,No,2415,84.97405905516625,82.93345650131845,87.01466160901406
Ethnic minority,Yes,1687,15.02594094483397,12.98533839098617,17.06654349868177
Health insurance,Insured,3605,86.28742431024104,84.22045424043777,88.3543943800443
Health insurance,Uninsured,496,13.71257568975912,11.64560561995586,15.77954575956239
Marital/Union status of woman,Currently married/union,2268,46.37806311523083,43.8783914415301,48.87773478893156
Marital/Union status of woman,Formerly married/union,106,3.311507714526912,2.491672681498188,4.131342747555634
Marital/Union status of woman,Never married/union,1727,50.31042917024211,47.81320154869875,52.80765679178548
Education group,Primary or less,601,5.198701868320744,4.210235501086249,6.187168235555239
Education group,Lower secondary,1074,22.08100172927612,19.87160186561915,24.2904015929331
Education group,Upper secondary+,2427,72.72029640240329,70.23500965664249,75.2055831481641
Wealth index quintiles,Q1 poorest,1587,19.21896512840443,16.89005158155245,21.54787867525642
Wealth index quintiles,Q2,716,21.18758802637977,18.87189156238418,23.50328449037536
Wealth index quintiles,Q3,647,21.90729864525215,19.57039975862212,24.24419753188219
Wealth index quintiles,Q4,603,20.10334374889,18.01733463965913,22.18935285812088
Wealth index quintiles,Q5 richest,549,17.58280445107372,15.39959220970405,19.76601669244339
Heard about HPV vaccination,No,1969,37.62023066416491,35.05167732954114,40.18878399878869
Heard about HPV vaccination,Yes,2133,62.37976933583528,59.8112160012115,64.94832267045906
Received HPV vaccine,No,3882,92.52702520383919,91.26792832700841,93.78612208066997
Received HPV vaccine,Yes,220,7.472974796160857,6.213877919330073,8.732071672991641
Awareness-vaccination gap,Aware and vaccinated,220,11.97980511266152,10.05252733171277,13.90708289361027
Awareness-vaccination gap,Aware but unvaccinated,1913,88.02019488733826,86.09291710638952,89.94747266828701
Any mass media exposure,No,729,9.116206829581278,7.649690141291342,10.58272351787122
Any mass media exposure,Yes,3373,90.88379317041874,89.41727648212881,92.35030985870868
Any ICT exposure,No,219,2.107861678242561,1.603000734299657,2.612722622185466
Any ICT exposure,Yes,3883,97.8921383217576,97.38727737781468,98.3969992657005
Rejects all wife-beating justifications,No,534,9.773496508183142,8.153237933462179,11.3937550829041
Rejects all wife-beating justifications,Yes,3367,90.22650349181691,88.60624491709595,91.84676206653788
Ever had sexual intercourse,No,1632,46.92821541317822,44.42949031664276,49.42694050971369
Ever had sexual intercourse,Yes,2469,53.07178458682171,50.57305949028625,55.57050968335717
