variable,category,outcome,unweighted_n,pct,lci,uci,pvalue
Age,15-19,ccp5_bin,1349,48.27114261389556,44.1541848655698,52.41170538826684,1.48857070437e-18
Age,20-24,ccp5_bin,1150,66.15555603367686,61.94924779470903,70.12114702337358,1.48857070437e-18
Age,25-29,ccp5_bin,1603,70.30921743632616,66.99424928404876,73.42332173487002,1.48857070437e-18
Area,Urban,ccp5_bin,1206,73.05024831132539,68.99054913672987,76.7575143416625,9.80146465467e-10
Area,Rural,ccp5_bin,2896,56.01658245699554,52.6462140506024,59.33237025252321,9.80146465467e-10
Ethnic minority,No,ccp5_bin,2415,67.03516191077135,64.1902690029839,69.76051532744,1.12910018713e-27
Ethnic minority,Yes,ccp5_bin,1687,36.05279220741661,31.74949816291163,40.59245002640878,1.12910018713e-27
Health insurance,Insured,ccp5_bin,3605,62.99504202604736,60.30187527715638,65.60969976687657,.2330380983836924
Health insurance,Uninsured,ccp5_bin,496,58.73134281611235,51.70190806013944,65.42192923668544,.2330380983836924
Marital/Union status of woman,Currently married/union,ccp5_bin,2268,63.5907539336382,60.36040141586261,66.70307383532605,.2859332118556252
Marital/Union status of woman,Formerly married/union,ccp5_bin,106,54.0871863258164,40.96919837515493,66.66217294608276,.2859332118556252
Marital/Union status of woman,Never married/union,ccp5_bin,1727,61.83209316380211,58.2984651794827,65.24480085240043,.2859332118556252
Education group,Primary or less,ccp5_bin,601,22.87139981809664,16.00964503102713,31.56871987292783,3.16528586447e-27
Education group,Lower secondary,ccp5_bin,1074,49.1551036553661,44.27219859918917,54.05418244001537,3.16528586447e-27
Education group,Upper secondary+,ccp5_bin,2427,69.21975933578318,66.38591806899133,71.91576175224388,3.16528586447e-27
Wealth index quintiles,Q1 poorest,ccp5_bin,1587,33.2848819002128,28.96233130524112,37.90829713642205,1.92129289105e-48
Wealth index quintiles,Q2,ccp5_bin,716,58.53169304594134,53.59109207699573,63.30645403264552,1.92129289105e-48
Wealth index quintiles,Q3,ccp5_bin,647,64.35745928514162,59.30182134971525,69.1121839239011,1.92129289105e-48
Wealth index quintiles,Q4,ccp5_bin,603,73.53375301527468,68.82685728448392,77.75959865540115,1.92129289105e-48
Wealth index quintiles,Q5 richest,ccp5_bin,549,83.60203059559619,79.50472716700089,87.01401368928535,1.92129289105e-48
Any mass media exposure,No,ccp5_bin,729,39.07558753182224,32.81676880950512,45.7158298159735,3.86319199859e-13
Any mass media exposure,Yes,ccp5_bin,3373,64.71732297338187,62.06293795268179,67.28388809208302,3.86319199859e-13
Any ICT exposure,No,ccp5_bin,219,23.43383990993397,15.1153018213199,34.47128223998397,9.25953777333e-12
Any ICT exposure,Yes,ccp5_bin,3883,63.21837224683266,60.60565518432472,65.75571805194775,9.25953777333e-12
Rejects all wife-beating justifications,No,ccp5_bin,534,45.16996099245018,38.53679720453091,51.97929717634416,3.04565828648e-08
Rejects all wife-beating justifications,Yes,ccp5_bin,3367,65.17278234766503,62.43107394881788,67.8175472850772,3.04565828648e-08
Ever had sexual intercourse,No,ccp5_bin,1632,61.12973873760323,57.53376412857681,64.60852372037466,.271362448085407
Ever had sexual intercourse,Yes,ccp5_bin,2469,63.48847981437738,60.3237912914862,66.54075375798638,.271362448085407
