variable,category,outcome,unweighted_n,pct,lci,uci,pvalue
Age,15-19,ccp6_bin,1349,5.627603121715787,3.904942098927464,8.046579318539436,.0149547700128347
Age,20-24,ccp6_bin,1150,9.967011767497876,7.735715426910701,12.75294591269676,.0149547700128347
Age,25-29,ccp6_bin,1603,7.024877620717911,5.503470581704211,8.927137134839708,.0149547700128347
Area,Urban,ccp6_bin,1206,11.3754701530446,9.096272930094628,14.13693933347565,6.07688526907e-06
Area,Rural,ccp6_bin,2896,5.145777740930747,3.939901585356229,6.695010103965308,6.07688526907e-06
Ethnic minority,No,ccp6_bin,2415,8.510704457555807,7.151005370331339,10.10081271653826,1.24462114838e-06
Ethnic minority,Yes,ccp6_bin,1687,1.604450365350386,.7584102192756488,3.362309889470858,1.24462114838e-06
Health insurance,Insured,ccp6_bin,3605,8.023081256629053,6.739121867951867,9.526676202200612,.0159620025398059
Health insurance,Uninsured,ccp6_bin,496,4.038129856079534,2.29824646746124,7.000806808108033,.0159620025398059
Marital/Union status of woman,Currently married/union,ccp6_bin,2268,5.060521024745221,3.94303617891445,6.473366202239482,.0002539883273881
Marital/Union status of woman,Formerly married/union,ccp6_bin,106,7.260445726097629,3.355547418601943,15.00404523653617,.0002539883273881
Marital/Union status of woman,Never married/union,ccp6_bin,1727,9.713589638630847,7.74076123233014,12.12314825841186,.0002539883273881
Education group,Primary or less,ccp6_bin,601,.7783475359046517,.1468756056983518,4.01556800790069,8.73827985948e-09
Education group,Lower secondary,ccp6_bin,1074,2.408267548379166,1.32298474574706,4.344640898161335,8.73827985948e-09
Education group,Upper secondary+,ccp6_bin,2427,9.489429458704045,7.970320122328118,11.26264106815194,8.73827985948e-09
Wealth index quintiles,Q1 poorest,ccp6_bin,1587,.7044917992081611,.2983645104644301,1.654258428950097,1.50413416227e-15
Wealth index quintiles,Q2,ccp6_bin,716,6.0496203378065,4.06427029910847,8.914672350518176,1.50413416227e-15
Wealth index quintiles,Q3,ccp6_bin,647,5.938908411778916,4.103736199679755,8.521831437420563,1.50413416227e-15
Wealth index quintiles,Q4,ccp6_bin,603,9.167798422187078,6.70436824465155,12.41592366151611,1.50413416227e-15
Wealth index quintiles,Q5 richest,ccp6_bin,549,16.56005277003605,12.72956600613903,21.26235445239204,1.50413416227e-15
Any mass media exposure,No,ccp6_bin,729,2.610373180417001,.9660373657274043,6.859737301779134,.016601767125943
Any mass media exposure,Yes,ccp6_bin,3373,7.960723827232385,6.722176639946054,9.404463207658369,.016601767125943
Any ICT exposure,No,ccp6_bin,219,2.682747578656441,.3799032343625359,16.61632396608857,.2565656472528459
Any ICT exposure,Yes,ccp6_bin,3883,7.576120325055766,6.394966034196098,8.954564667694685,.2565656472528459
Rejects all wife-beating justifications,No,ccp6_bin,534,3.247351537749052,1.758874076596151,5.919577726763224,.002862592506435
Rejects all wife-beating justifications,Yes,ccp6_bin,3367,7.916120100354274,6.661874554657615,9.3827673654192,.002862592506435
Ever had sexual intercourse,No,ccp6_bin,1632,9.786729880132139,7.763034686283282,12.26780406179365,.0001928691142459
Ever had sexual intercourse,Yes,ccp6_bin,2469,5.427464371426412,4.348162804260637,6.755748628828242,.0001928691142459
