variable,category,outcome,unweighted_n,pct,lci,uci,pvalue
Age,15-19,gap,554,88.34168238624667,83.87429863157473,91.69400500310937,.0517030398962797
Age,20-24,gap,623,84.93397627491164,80.90796042723657,88.23446774695307,.0517030398962797
Age,25-29,gap,956,90.00859648725314,87.40743376240225,92.12088824170645,.0517030398962797
Area,Urban,gap,855,84.42788297643473,80.91071726900668,87.39794982398649,.0018187758161437
Area,Rural,gap,1278,90.81383134202939,88.16079733841451,92.92009345455291,.0018187758161437
Ethnic minority,No,gap,1631,87.30411889079302,85.04873155448387,89.26223743420199,.0034010312486222
Ethnic minority,Yes,gap,502,95.54971954427339,90.86073284157352,97.88887414422648,.0034010312486222
Health insurance,Insured,gap,1889,87.26394808449891,85.02828888528587,89.20813760507497,.0277554293303181
Health insurance,Uninsured,gap,244,93.12440400226689,88.18688650220476,96.089699304094,.0277554293303181
Marital/Union status of woman,Currently married/union,gap,1118,92.04204902173939,89.90401925942129,93.75873940343945,.0000460988493085
Marital/Union status of woman,Formerly married/union,gap,52,86.5764033603794,73.74797195344543,93.67378430415179,.0000460988493085
Marital/Union status of woman,Never married/union,gap,963,84.29037552893752,80.72666161287884,87.29882053821564,.0000460988493085
Education group,Primary or less,gap,89,96.59685221676378,83.74578744586525,99.36457501932429,.000119886437811
Education group,Lower secondary,gap,431,95.10067649279328,91.34899736402706,97.27391887796725,.000119886437811
Education group,Upper secondary+,gap,1613,86.29086614896913,83.87028218958486,88.39844183620866,.000119886437811
Wealth index quintiles,Q1 poorest,gap,414,97.88344810319529,95.04440757845451,99.11122231091616,1.00166729690e-06
Wealth index quintiles,Q2,gap,407,89.66436810044411,84.99808319759549,92.99877716815404,1.00166729690e-06
Wealth index quintiles,Q3,gap,409,90.77199678522736,86.81796400616014,93.62705510380952,1.00166729690e-06
Wealth index quintiles,Q4,gap,446,87.53253023780428,83.25260324357208,90.83904489539964,1.00166729690e-06
Wealth index quintiles,Q5 richest,gap,457,80.19180556733001,74.79169131844827,84.67218620246743,1.00166729690e-06
Any mass media exposure,No,gap,149,93.31968283703686,83.31800850357108,97.50446791542265,.1950079613174393
Any mass media exposure,Yes,gap,1984,87.69923806875208,85.56028571697894,89.5600086446958,.1950079613174393
Any ICT exposure,No,gap,30,88.55182253968042,50.6055494524834,98.31645818286393,.9597963431591372
Any ICT exposure,Yes,gap,2103,88.01595160426569,85.94888261188032,89.81496746615196,.9597963431591372
Rejects all wife-beating justifications,No,gap,177,92.81081615657841,87.16052808209599,96.08622531725135,.0811364276748542
Rejects all wife-beating justifications,Yes,gap,1887,87.85364102129972,85.70221171526278,89.72016963217695,.0811364276748542
Ever had sexual intercourse,No,gap,896,83.99023113424184,80.26395096760423,87.12581505732528,.0000303320945693
Ever had sexual intercourse,Yes,gap,1237,91.45126109918711,89.44002493358691,93.10895361668891,.0000303320945693
