variable,category,outcome,unweighted_n,pct,lci,uci,pvalue
Age,15-19,ccp6_aware,554,11.65831761375335,8.305994996890657,16.12570136842529,.0517030398962793
Age,20-24,ccp6_aware,623,15.06602372508835,11.76553225304692,19.09203957276343,.0517030398962793
Age,25-29,ccp6_aware,956,9.991403512746849,7.879111758293544,12.59256623759775,.0517030398962793
Area,Urban,ccp6_aware,855,15.57211702356526,12.6020501760135,19.08928273099331,.0018187758161438
Area,Rural,ccp6_aware,1278,9.186168657970537,7.079906545447025,11.83920266158542,.0018187758161438
Ethnic minority,No,ccp6_aware,1631,12.69588110920679,10.73776256579781,14.95126844551596,.0034010312486222
Ethnic minority,Yes,ccp6_aware,502,4.450280455726604,2.11112585577352,9.139267158426492,.0034010312486222
Health insurance,Insured,ccp6_aware,1889,12.73605191550098,10.79186239492493,14.97171111471402,.0277554293303181
Health insurance,Uninsured,ccp6_aware,244,6.875595997733111,3.910300695905988,11.81311349779523,.0277554293303181
Marital/Union status of woman,Currently married/union,ccp6_aware,1118,7.957950978260551,6.241260596560496,10.09598074057865,.0000460988493085
Marital/Union status of woman,Formerly married/union,ccp6_aware,52,13.42359663962061,6.326215695848214,26.2520280465546,.0000460988493085
Marital/Union status of woman,Never married/union,ccp6_aware,963,15.70962447106255,12.70117946178443,19.27333838712124,.0000460988493085
Education group,Primary or less,ccp6_aware,89,3.403147783236234,.6354249806757221,16.25421255413475,.000119886437811
Education group,Lower secondary,ccp6_aware,431,4.899323507206691,2.726081122032733,8.65100263597294,.000119886437811
Education group,Upper secondary+,ccp6_aware,1613,13.709133851031,11.60155816379146,16.12971781041527,.000119886437811
Wealth index quintiles,Q1 poorest,ccp6_aware,414,2.116551896804709,.8887776890838438,4.955592421545495,1.00166729690e-06
Wealth index quintiles,Q2,ccp6_aware,407,10.33563189955598,7.001222831846053,15.00191680240459,1.00166729690e-06
Wealth index quintiles,Q3,ccp6_aware,409,9.228003214772725,6.372944896190567,13.18203599383993,1.00166729690e-06
Wealth index quintiles,Q4,ccp6_aware,446,12.46746976219575,9.160955104600378,16.74739675642795,1.00166729690e-06
Wealth index quintiles,Q5 richest,ccp6_aware,457,19.80819443267011,15.32781379753269,25.20830868155185,1.00166729690e-06
Any mass media exposure,No,ccp6_aware,149,6.680317162963127,2.495532084577335,16.68199149642892,.1950079613174397
Any mass media exposure,Yes,ccp6_aware,1984,12.30076193124772,10.439991355304,14.43971428302086,.1950079613174397
Any ICT exposure,No,ccp6_aware,30,11.4481774603196,1.683541817136087,49.39445054751657,.9597963431591373
Any ICT exposure,Yes,ccp6_aware,2103,11.98404839573411,10.18503253384785,14.05111738811948,.9597963431591373
Rejects all wife-beating justifications,No,ccp6_aware,177,7.189183843421568,3.913774682748641,12.83947191790399,.0811364276748543
Rejects all wife-beating justifications,Yes,ccp6_aware,1887,12.14635897870008,10.27983036782285,14.29778828473703,.0811364276748543
Ever had sexual intercourse,No,ccp6_aware,896,16.00976886575821,12.87418494267477,19.73604903239582,.0000303320945693
Ever had sexual intercourse,Yes,ccp6_aware,1237,8.548738900812879,6.891046383311081,10.55997506641307,.0000303320945693
