model,outcome,ses5,wealth_quintile,n,pct,lci,uci,q5_pct,diff_vs_q5
pred_awareness,ccp5_bin,1,Q1 poorest,3899,48.04126141356034,41.17068066185718,54.9118421652635,79.51224637355162,-31.47098495999128
pred_awareness,ccp5_bin,2,Q2,3899,61.13861965988382,56.5871756385591,65.69006368120854,79.51224637355162,-18.3736267136678
pred_awareness,ccp5_bin,3,Q3,3899,61.77167424818643,56.72920600278435,66.81414249358851,79.51224637355162,-17.74057212536519
pred_awareness,ccp5_bin,4,Q4,3899,68.634959287334,63.7096687201109,73.56024985455709,79.51224637355162,-10.87728708621762
pred_awareness,ccp5_bin,5,Q5 richest,3899,79.51224637355162,74.88391460220393,84.14057814489931,79.51224637355162,0
pred_gap,gap,1,Q1 poorest,4033,96.88694778722356,93.7761361108745,99.99775946357263,85.0374202856616,11.84952750156197
pred_gap,gap,2,Q2,4033,88.90286055625548,84.81005083318432,92.99567027932663,85.0374202856616,3.865440270593879
pred_gap,gap,3,Q3,4033,91.70446494849678,88.60009120631443,94.80883869067912,85.0374202856616,6.667044662835181
pred_gap,gap,4,Q4,4033,89.60457418474701,86.18430126792256,93.02484710157145,85.0374202856616,4.567153899085412
pred_gap,gap,5,Q5 richest,4033,85.0374202856616,80.75657288397075,89.31826768735243,85.0374202856616,0
pred_vaccination,ccp6_bin,1,Q1 poorest,3899,1.503792896830489,0,3.063711103029498,12.25520042238719,-10.7514075255567
pred_vaccination,ccp6_bin,2,Q2,3899,7.100750072527381,4.394315262437459,9.807184882617303,12.25520042238719,-5.154450349859806
pred_vaccination,ccp6_bin,3,Q3,3899,5.291763352029561,3.352263522462111,7.231263181597011,12.25520042238719,-6.963437070357625
pred_vaccination,ccp6_bin,4,Q4,3899,7.659569889908564,5.211252467729156,10.10788731208797,12.25520042238719,-4.595630532478623
pred_vaccination,ccp6_bin,5,Q5 richest,3899,12.25520042238719,8.841125969789518,15.66927487498486,12.25520042238719,0
pred_vaccination_aware,ccp6_aware,1,Q1 poorest,4033,3.113052212776431,.0022405364274298,6.223863889125433,14.96257971433841,-11.84952750156198
pred_vaccination_aware,ccp6_aware,2,Q2,4033,11.09713944374451,7.00432972067388,15.18994916681514,14.96257971433841,-3.865440270593902
pred_vaccination_aware,ccp6_aware,3,Q3,4033,8.29553505150322,5.191161309321289,11.39990879368515,14.96257971433841,-6.667044662835194
pred_vaccination_aware,ccp6_aware,4,Q4,4033,10.39542581525299,6.975152898429113,13.81569873207687,14.96257971433841,-4.567153899085421
pred_vaccination_aware,ccp6_aware,5,Q5 richest,4033,14.96257971433841,10.68173231264836,19.24342711602847,14.96257971433841,0
